CT-vs-LT20	CT-vs-LT15	CT-vs-LT12	CT-vs-LT12_6
transcript_4199	transcript_8616	transcript_5608	transcript_689
transcript_10729	transcript_2677	transcript_6907	transcript_3719
transcript_6359	transcript_8665	transcript_6395	transcript_6646
transcript_11521	transcript_1369	transcript_5426	transcript_3447
transcript_37	transcript_6557	transcript_3254	transcript_7337
transcript_699	transcript_6017	transcript_1155	transcript_1867
transcript_1983	transcript_517	transcript_6390	transcript_2443
transcript_5402	transcript_429	transcript_3734	transcript_537
transcript_2815	transcript_396	transcript_4359	transcript_2809
transcript_6061	transcript_6039	transcript_6080	transcript_7926
transcript_1752	transcript_982	transcript_4264	transcript_1531
transcript_6812	transcript_10875	transcript_3618	transcript_10714
transcript_3647	transcript_1046	transcript_8464	transcript_238
transcript_11153	transcript_3228	transcript_4458	transcript_4852
transcript_11051	transcript_2996	transcript_5065	transcript_5899
transcript_7315	transcript_10628	transcript_2143	transcript_1522
transcript_8874	transcript_5019	transcript_2922	transcript_4204
transcript_3325	transcript_417	transcript_7280	transcript_958
transcript_5262	transcript_10202	transcript_1482	transcript_450
transcript_2479	transcript_11326	transcript_9848	transcript_5451
transcript_10555	transcript_7536	transcript_689	transcript_3979
transcript_5736	transcript_10651	transcript_1230	transcript_4086
transcript_1415	transcript_6933	transcript_1700	transcript_8877
transcript_6752	transcript_9250	transcript_7067	transcript_6853
transcript_2208	transcript_2801	transcript_9616	transcript_3693
transcript_3628	transcript_7586	transcript_2363	transcript_6150
transcript_6839	transcript_1555	transcript_9128	transcript_6499
transcript_10100	transcript_7682	transcript_1271	transcript_625
transcript_4697	transcript_6131	transcript_2621	transcript_10468
transcript_6360	transcript_5533	transcript_5868	transcript_8912
transcript_10454	transcript_10191	transcript_1737	transcript_7562
transcript_4532	transcript_11108	transcript_4125	transcript_9509
transcript_8635	transcript_6317	transcript_5225	transcript_3
transcript_9425	transcript_8598	transcript_8020	transcript_6229
transcript_3049	transcript_9507	transcript_9250	transcript_9136
transcript_5838	transcript_5285	transcript_3	transcript_2113
transcript_5033	transcript_8985	transcript_121	transcript_10117
transcript_310	transcript_6184	transcript_3987	transcript_9020
transcript_8201	transcript_2782	transcript_9139	transcript_8737
transcript_5229	transcript_4283	transcript_6784	transcript_5585
transcript_8418	transcript_10379	transcript_7116	transcript_953
transcript_4150	transcript_4564	transcript_3824	transcript_1354
transcript_8159	transcript_1552	transcript_11051	transcript_337
transcript_6043	transcript_456	transcript_10029	transcript_1485
transcript_3267	transcript_7409	transcript_7183	transcript_3858
transcript_8442	transcript_2284	transcript_5778	transcript_4459
transcript_1145	transcript_263	transcript_925	transcript_2894
transcript_517	transcript_5239	transcript_10379	transcript_2864
transcript_4852	transcript_4962	transcript_8832	transcript_8177
transcript_7682	transcript_4295	transcript_3338	transcript_159
transcript_1511	transcript_8646	transcript_1176	transcript_10192
transcript_6557	transcript_7868	transcript_1660	transcript_613
transcript_3284	transcript_193	transcript_1565	transcript_3541
transcript_7183	transcript_343	transcript_639	transcript_9292
transcript_6650	transcript_8614	transcript_8690	transcript_11193
transcript_558	transcript_5808	transcript_856	transcript_4745
transcript_4543	transcript_8626	transcript_9096	transcript_4950
transcript_2284	transcript_5602	transcript_4030	transcript_3433
transcript_5132	transcript_894	transcript_632	transcript_9711
transcript_198	transcript_50	transcript_6581	transcript_2513
transcript_7580	transcript_1963	transcript_4156	transcript_7786
transcript_5946	transcript_1851	transcript_3241	transcript_6114
transcript_3336	transcript_5375	transcript_10179	transcript_2934
transcript_8492	transcript_4852	transcript_210	transcript_2713
transcript_3719	transcript_8163	transcript_4347	transcript_3224
transcript_7400	transcript_9876	transcript_8604	transcript_4359
transcript_5935	transcript_199	transcript_9610	transcript_4892
transcript_10204	transcript_605	transcript_1405	transcript_3187
transcript_1881	transcript_2268	transcript_316	transcript_6529
transcript_6800	transcript_836	transcript_6139	transcript_1419
transcript_4208	transcript_2624	transcript_236	transcript_10294
transcript_10320	transcript_8081	transcript_5697	transcript_3336
transcript_7498	transcript_2569	transcript_630	transcript_1900
transcript_3355	transcript_4640	transcript_1877	transcript_9998
transcript_11480	transcript_3950	transcript_6260	transcript_4921
transcript_9119	transcript_330	transcript_8543	transcript_10169
transcript_305	transcript_23	transcript_584	transcript_773
transcript_7342	transcript_3776	transcript_10921	transcript_5013
transcript_348	transcript_3066	transcript_1408	transcript_8714
transcript_4940	transcript_9328	transcript_10795	transcript_6336
transcript_6883	transcript_6053	transcript_5555	transcript_1477
transcript_7520	transcript_9967	transcript_1963	transcript_3779
transcript_2605	transcript_10204	transcript_617	transcript_7388
transcript_471	transcript_10462	transcript_4935	transcript_4969
transcript_5337	transcript_6046	transcript_8268	transcript_1020
transcript_4615	transcript_491	transcript_2169	transcript_2629
transcript_10849	transcript_9129	transcript_4133	transcript_1890
transcript_3485	transcript_6800	transcript_6275	transcript_8384
transcript_8815	transcript_3544	transcript_2139	transcript_1680
transcript_9929	transcript_9995	transcript_7812	transcript_7742
transcript_10292	transcript_2800	transcript_2348	transcript_4835
transcript_8461	transcript_2022	transcript_10210	transcript_6585
transcript_6657	transcript_4252	transcript_3822	transcript_8735
transcript_521	transcript_506	transcript_10645	transcript_7406
transcript_10474	transcript_4047	transcript_8669	transcript_6987
transcript_5720	transcript_186	transcript_1254	transcript_153
transcript_8873	transcript_1818	transcript_61	transcript_7768
transcript_4705	transcript_9653	transcript_3740	transcript_9155
transcript_895	transcript_852	transcript_10789	transcript_4329
transcript_8740	transcript_7464	transcript_7659	transcript_8878
transcript_1254	transcript_9808	transcript_901	transcript_4190
transcript_5001	transcript_8509	transcript_1713	transcript_7464
transcript_5270	transcript_2768	transcript_9222	transcript_2307
transcript_9003	transcript_1163	transcript_10270	transcript_2644
transcript_3858	transcript_1845	transcript_4638	transcript_4398
transcript_7948	transcript_7816	transcript_724	transcript_6502
transcript_10822	transcript_6593	transcript_11039	transcript_10030
transcript_4948	transcript_1667	transcript_9673	transcript_1670
transcript_6371	transcript_10381	transcript_6011	transcript_10258
transcript_6677	transcript_8625	transcript_2307	transcript_3017
transcript_9729	transcript_135	transcript_8139	transcript_9213
transcript_583	transcript_1645	transcript_6425	transcript_1620
transcript_3463	transcript_8111	transcript_7847	transcript_1652
transcript_8138	transcript_3659	transcript_980	transcript_1048
transcript_7548	transcript_7030	transcript_2852	transcript_11012
transcript_10871	transcript_6061	transcript_3587	transcript_8268
transcript_5135	transcript_2080	transcript_4093	transcript_8217
transcript_4549	transcript_4159	transcript_3913	transcript_1056
transcript_2304	transcript_7736	transcript_2557	transcript_3474
transcript_5781	transcript_1703	transcript_2158	transcript_1369
transcript_5498	transcript_4911	transcript_4498	transcript_5479
transcript_2489	transcript_348	transcript_7289	transcript_1735
transcript_3775	transcript_3612	transcript_5008	transcript_1304
transcript_3696	transcript_5665	transcript_3931	transcript_3341
transcript_6201	transcript_3534	transcript_7038	transcript_975
transcript_7711	transcript_10292	transcript_8610	transcript_4506
transcript_9395	transcript_9149	transcript_5187	transcript_6681
transcript_4302	transcript_4950	transcript_7243	transcript_7033
transcript_9833	transcript_1103	transcript_1124	transcript_7685
transcript_1937	transcript_1291	transcript_2257	transcript_4832
transcript_5391	transcript_550	transcript_11117	transcript_2997
transcript_11147	transcript_2256	transcript_3149	transcript_2118
transcript_6706	transcript_7346	transcript_6014	transcript_7377
transcript_1713	transcript_8647	transcript_5026	transcript_5511
transcript_1947	transcript_3760	transcript_5991	transcript_6022
transcript_1369	transcript_10335	transcript_4863	transcript_1003
transcript_3837	transcript_3072	transcript_2551	transcript_4124
transcript_2883	transcript_1122	transcript_74	transcript_4814
transcript_8947	transcript_7337	transcript_8127	transcript_7140
transcript_7601	transcript_8305	transcript_6427	transcript_4363
transcript_2389	transcript_11089	transcript_5856	transcript_8244
transcript_4106	transcript_8136	transcript_7653	transcript_3144
transcript_5003	transcript_9634	transcript_330	transcript_10811
transcript_5870	transcript_8955	transcript_9858	transcript_6659
transcript_1943	transcript_3592	transcript_6157	transcript_580
transcript_2595	transcript_8884	transcript_8411	transcript_3049
transcript_4016	transcript_3367	transcript_2534	transcript_10379
transcript_9164	transcript_4443	transcript_3432	transcript_5281
transcript_6599	transcript_4857	transcript_3474	transcript_5099
transcript_5742	transcript_257	transcript_11326	transcript_10639
transcript_3397	transcript_8655	transcript_7392	transcript_3248
transcript_3373	transcript_6890	transcript_1311	transcript_5231
transcript_3503	transcript_2857	transcript_4871	transcript_9301
transcript_3736	transcript_10266	transcript_135	transcript_9832
transcript_10260	transcript_4935	transcript_9077	transcript_4632
transcript_4263	transcript_3813	transcript_4459	transcript_7477
transcript_5345	transcript_869	transcript_5874	transcript_11153
transcript_9598	transcript_1569	transcript_421	transcript_11089
transcript_6291	transcript_168	transcript_6116	transcript_9450
transcript_4355	transcript_604	transcript_3216	transcript_7694
transcript_4399	transcript_3338	transcript_9043	transcript_3424
transcript_8803	transcript_3650	transcript_8232	transcript_3103
transcript_9514	transcript_3260	transcript_8783	transcript_160
transcript_6565	transcript_5801	transcript_2402	transcript_4216
transcript_9315	transcript_28	transcript_283	transcript_1194
transcript_7634	transcript_7631	transcript_8196	transcript_11054
transcript_6552	transcript_5400	transcript_2629	transcript_6064
transcript_5705	transcript_2738	transcript_2234	transcript_8027
transcript_1565	transcript_10884	transcript_743	transcript_2757
transcript_11144	transcript_2260	transcript_7694	transcript_1445
transcript_2058	transcript_2761	transcript_9061	transcript_7609
transcript_3987	transcript_9902	transcript_8852	transcript_5868
transcript_3587	transcript_5251	transcript_2117	transcript_6760
transcript_3414	transcript_295	transcript_1030	transcript_3899
transcript_6550	transcript_2408	transcript_3650	transcript_1569
transcript_7269	transcript_8466	transcript_6449	transcript_993
transcript_8217	transcript_1947	transcript_4468	transcript_2631
transcript_5687	transcript_8213	transcript_9385	transcript_3824
transcript_1811	transcript_5026	transcript_1258	transcript_6727
transcript_1733	transcript_3141	transcript_8719	transcript_391
transcript_4578	transcript_3201	transcript_5389	transcript_1156
transcript_1777	transcript_11124	transcript_2344	transcript_9366
transcript_10184	transcript_6656	transcript_1487	transcript_9038
transcript_2738	transcript_3178	transcript_4330	transcript_3590
transcript_6770	transcript_1453	transcript_1993	transcript_9515
transcript_7472	transcript_6565	transcript_7181	transcript_2133
transcript_703	transcript_7936	transcript_9508	transcript_8852
transcript_7100	transcript_7441	transcript_6593	transcript_2800
transcript_456	transcript_3822	transcript_9203	transcript_3601
transcript_4158	transcript_2826	transcript_1553	transcript_252
transcript_6863	transcript_8110	transcript_6677	transcript_3612
transcript_2899	transcript_1009	transcript_1659	transcript_8136
transcript_11145	transcript_294	transcript_6604	transcript_10716
transcript_316	transcript_4887	transcript_9929	transcript_2159
transcript_688	transcript_8651	transcript_8354	transcript_7915
transcript_3273	transcript_3365	transcript_2637	transcript_11497
transcript_7418	transcript_149	transcript_8056	transcript_7839
transcript_3445	transcript_7870	transcript_2066	transcript_1394
transcript_4459	transcript_9982	transcript_5834	transcript_7703
transcript_5126	transcript_309	transcript_5312	transcript_6976
transcript_1725	transcript_3509	transcript_8321	transcript_11169
transcript_9143	transcript_4658	transcript_764	transcript_461
transcript_6913	transcript_11105	transcript_6958	transcript_5442
transcript_9407	transcript_1304	transcript_4914	transcript_9323
transcript_3692	transcript_5148	transcript_9253	transcript_5402
transcript_4918	transcript_5729	transcript_2327	transcript_5225
transcript_1082	transcript_6503	transcript_7420	transcript_534
transcript_2657	transcript_5258	transcript_2022	transcript_7068
transcript_1344	transcript_2528	transcript_3027	transcript_2976
transcript_9351	transcript_849	transcript_11382	transcript_3306
transcript_1567	transcript_4193	transcript_2405	transcript_4585
transcript_8582	transcript_9998	transcript_894	transcript_2284
transcript_1690	transcript_3162	transcript_3456	transcript_1332
transcript_8105	transcript_1078	transcript_7278	transcript_6542
transcript_7719	transcript_5161	transcript_391	transcript_309
transcript_7278	transcript_6078	transcript_9685	transcript_811
transcript_272	transcript_4302	transcript_10998	transcript_4655
transcript_10424	transcript_6157	transcript_7083	transcript_1540
transcript_738	transcript_10211	transcript_115	transcript_471
transcript_5730	transcript_8205	transcript_2067	transcript_10915
transcript_670	transcript_7063	transcript_3805	transcript_3377
transcript_2036	transcript_1603	transcript_3215	transcript_6595
transcript_11137	transcript_8006	transcript_10381	transcript_3712
transcript_607	transcript_4878	transcript_430	transcript_8985
transcript_7280	transcript_2705	transcript_10073	transcript_8062
transcript_4969	transcript_9192	transcript_10505	transcript_2169
transcript_4914	transcript_8728	transcript_3713	transcript_1138
transcript_6212	transcript_632	transcript_1818	transcript_1822
transcript_8665	transcript_8690	transcript_3582	transcript_2288
transcript_6014	transcript_3077	transcript_5251	transcript_2684
transcript_2397	transcript_1258	transcript_4188	transcript_930
transcript_3218	transcript_1811	transcript_2669	transcript_2478
transcript_2111	transcript_3720	transcript_2552	transcript_3619
transcript_7920	transcript_4263	transcript_9113	transcript_4616
transcript_9129	transcript_8490	transcript_3856	transcript_1532
transcript_1248	transcript_1405	transcript_3600	transcript_6420
transcript_1867	transcript_778	transcript_1982	transcript_5697
transcript_257	transcript_1149	transcript_8815	transcript_595
transcript_3178	transcript_2283	transcript_10900	transcript_667
transcript_5923	transcript_3456	transcript_1354	transcript_8947
transcript_1805	transcript_190	transcript_2804	transcript_3153
transcript_2554	transcript_3775	transcript_2987	transcript_3018
transcript_202	transcript_7325	transcript_7342	transcript_2911
transcript_5809	transcript_8459	transcript_7212	transcript_4010
transcript_5251	transcript_2982	transcript_5535	transcript_812
transcript_4349	transcript_4740	transcript_3546	transcript_4583
transcript_2857	transcript_5683	transcript_6103	transcript_7311
transcript_210	transcript_1097	transcript_10462	transcript_181
transcript_491	transcript_2618	transcript_6697	transcript_8921
transcript_9213	transcript_10156	transcript_3194	transcript_3544
transcript_2262	transcript_3931	transcript_3355	transcript_832
transcript_6286	transcript_4265	transcript_8051	transcript_10462
transcript_1318	transcript_3239	transcript_9507	transcript_961
transcript_6813	transcript_5188	transcript_3218	transcript_10894
transcript_9469	transcript_4948	transcript_1103	transcript_3659
transcript_8788	transcript_2859	transcript_7327	transcript_8850
transcript_3672	transcript_4181	transcript_272	transcript_4836
transcript_3117	transcript_926	transcript_1766	transcript_8110
transcript_8616	transcript_4578	transcript_270	transcript_748
transcript_9686	transcript_1455	transcript_1721	transcript_3202
transcript_3767	transcript_8252	transcript_6691	transcript_986
transcript_3917	transcript_133	transcript_1491	transcript_2298
transcript_4069	transcript_925	transcript_6174	transcript_3019
transcript_901	transcript_4022	transcript_2913	transcript_8797
transcript_9414	transcript_3726	transcript_4864	transcript_1482
transcript_1667	transcript_3696	transcript_5808	transcript_9469
transcript_2042	transcript_5301	transcript_2092	transcript_1872
transcript_8252	transcript_9560	transcript_8884	transcript_919
transcript_690	transcript_1914	transcript_3273	transcript_8763
transcript_309	transcript_3149	transcript_7239	transcript_8980
transcript_957	transcript_2477	transcript_4809	transcript_7760
transcript_4717	transcript_3355	transcript_6533	transcript_1161
transcript_10062	transcript_2118	transcript_11346	transcript_1301
transcript_5758	transcript_914	transcript_629	transcript_1936
transcript_5791	transcript_9385	transcript_796	transcript_1625
transcript_10191	transcript_4939	transcript_3985	transcript_2996
transcript_6591	transcript_9543	transcript_8962	transcript_7443
transcript_7936	transcript_521	transcript_2754	transcript_6878
transcript_7754	transcript_7142	transcript_9275	transcript_5126
transcript_8771	transcript_5393	transcript_98	transcript_4684
transcript_5647	transcript_8815	transcript_10089	transcript_7268
transcript_2278	transcript_1362	transcript_5775	transcript_6740
transcript_2756	transcript_8742	transcript_2392	transcript_3218
transcript_5227	transcript_8993	transcript_8702	transcript_2222
transcript_8664	transcript_5389	transcript_4641	transcript_4090
transcript_1877	transcript_2776	transcript_702	transcript_1640
transcript_4693	transcript_198	transcript_7023	transcript_7179
transcript_5775	transcript_10059	transcript_1245	transcript_4155
transcript_666	transcript_5667	transcript_3250	transcript_2289
transcript_8854	transcript_3070	transcript_8247	transcript_9787
transcript_9455	transcript_10636	transcript_8111	transcript_4489
transcript_10899	transcript_6954	transcript_5992	transcript_2569
transcript_997	transcript_2073	transcript_4238	transcript_4543
transcript_396	transcript_6609	transcript_396	transcript_7574
transcript_1278	transcript_8307	transcript_6577	transcript_55
transcript_1660	transcript_2519	transcript_4265	transcript_5862
transcript_446	transcript_2307	transcript_3767	transcript_10302
transcript_8267	transcript_8245	transcript_5458	transcript_4455
transcript_7416	transcript_3430	transcript_10622	transcript_2768
transcript_9597	transcript_3418	transcript_9108	transcript_3189
transcript_6177	transcript_6753	transcript_7198	transcript_838
transcript_2987	transcript_2704	transcript_4216	transcript_3509
transcript_6533	transcript_741	transcript_4567	transcript_1703
transcript_2022	transcript_4010	transcript_1464	transcript_8391
transcript_8425	transcript_7926	transcript_1559	transcript_6094
transcript_7631	transcript_6816	transcript_10408	transcript_3945
transcript_8361	transcript_26	transcript_9665	transcript_10627
transcript_6122	transcript_8588	transcript_1548	transcript_2669
transcript_8894	transcript_8155	transcript_6152	transcript_3350
transcript_1971	transcript_432	transcript_346	transcript_3069
transcript_6146	transcript_4804	transcript_3135	transcript_7889
transcript_3338	transcript_2109	transcript_5001	transcript_1337
transcript_9041	transcript_583	transcript_1466	transcript_4055
transcript_6593	transcript_261	transcript_6499	transcript_9913
transcript_8956	transcript_629	transcript_2624	transcript_7580
transcript_7327	transcript_606	transcript_852	transcript_7661
transcript_10960	transcript_876	transcript_1526	transcript_11491
transcript_2307	transcript_7940	transcript_6201	transcript_9339
transcript_215	transcript_10038	transcript_1009	transcript_4372
transcript_10443	transcript_11457	transcript_10576	transcript_9665
transcript_5634	transcript_3824	transcript_5260	transcript_5185
transcript_5883	transcript_1211	transcript_5235	transcript_9713
transcript_5729	transcript_1635	transcript_5091	transcript_1990
transcript_1426	transcript_5633	transcript_3042	transcript_2301
transcript_1737	transcript_2443	transcript_1756	transcript_11105
transcript_836	transcript_3191	transcript_5887	transcript_7731
transcript_2768	transcript_5021	transcript_5237	transcript_2179
transcript_11056	transcript_11265	transcript_4150	transcript_2024
transcript_7074	transcript_5151	transcript_6591	transcript_10449
transcript_4475	transcript_3049	transcript_2365	transcript_8267
transcript_5305	transcript_6014	transcript_8616	transcript_617
transcript_5759	transcript_2169	transcript_6303	transcript_8554
transcript_8626	transcript_10029	transcript_888	transcript_80
transcript_8307	transcript_10655	transcript_1971	transcript_7036
transcript_506	transcript_1752	transcript_3840	transcript_3367
transcript_4851	transcript_9253	transcript_2519	transcript_3387
transcript_4169	transcript_3281	transcript_658	transcript_7819
transcript_11070	transcript_1343	transcript_4301	transcript_2376
transcript_152	transcript_7601	transcript_233	transcript_1469
transcript_5067	transcript_3628	transcript_8402	transcript_1956
transcript_6381	transcript_8908	transcript_198	transcript_11133
transcript_7038	transcript_9661	transcript_9023	transcript_4581
transcript_7760	transcript_8803	transcript_880	transcript_8887
transcript_3833	transcript_7778	transcript_2371	transcript_1017
transcript_7615	transcript_9896	transcript_10169	transcript_3108
transcript_3824	transcript_98	transcript_7913	transcript_11034
transcript_8155	transcript_4156	transcript_10667	transcript_10067
transcript_8354	transcript_9729	transcript_4763	transcript_1089
transcript_10645	transcript_3924	transcript_6170	transcript_5696
transcript_5511	transcript_3692	transcript_10703	transcript_4748
transcript_11108	transcript_10783	transcript_10343	transcript_8411
transcript_6463	transcript_9425	transcript_5854	transcript_7907
transcript_10846	transcript_1060	transcript_2592	transcript_7765
transcript_8566	transcript_4367	transcript_1460	transcript_2531
transcript_5219	transcript_7423	transcript_397	transcript_7214
transcript_5868	transcript_3747	transcript_282	transcript_8625
transcript_3342	transcript_10953	transcript_9976	transcript_4782
transcript_1132	transcript_10789	transcript_4604	transcript_8733
transcript_9253	transcript_7015	transcript_8834	transcript_6111
transcript_6425	transcript_3438	transcript_1609	transcript_7720
transcript_5432	transcript_4845	transcript_1776	transcript_121
transcript_1750	transcript_5061	transcript_1591	transcript_348
transcript_661	transcript_5235	transcript_10555	transcript_2121
transcript_1224	transcript_10	transcript_6435	transcript_149
transcript_9222	transcript_8582	transcript_573	transcript_10833
transcript_8931	transcript_4436	transcript_7775	transcript_5801
transcript_9008	transcript_9272	transcript_2841	transcript_10950
transcript_7466	transcript_6883	transcript_10292	transcript_1642
transcript_8451	transcript_10069	transcript_1203	transcript_1252
transcript_3261	transcript_1526	transcript_2661	transcript_6374
transcript_3430	transcript_3254	transcript_3612	transcript_2849
transcript_11420	transcript_1580	transcript_5400	transcript_7441
transcript_2653	transcript_4414	transcript_2815	transcript_7525
transcript_4031	transcript_9881	transcript_5402	transcript_7717
transcript_8339	transcript_9264	transcript_6380	transcript_8956
transcript_1851	transcript_1748	transcript_6629	transcript_4866
transcript_639	transcript_5980	transcript_8307	transcript_2660
transcript_8737	transcript_4303	transcript_10448	transcript_6288
transcript_11550	transcript_10922	transcript_4739	transcript_7102
transcript_2483	transcript_2198	transcript_1239	transcript_4697
transcript_5934	transcript_4593	transcript_9012	transcript_3443
transcript_7414	transcript_3590	transcript_17	transcript_163
transcript_812	transcript_689	transcript_11521	transcript_7963
transcript_1963	transcript_3445	transcript_3879	transcript_888
transcript_9385	transcript_8319	transcript_8878	transcript_3937
transcript_9323	transcript_3470	transcript_545	transcript_94
transcript_2841	transcript_471	transcript_3245	transcript_485
transcript_5187	transcript_6591	transcript_2941	transcript_11406
transcript_3103	transcript_1750	transcript_993	transcript_1594
transcript_10046	transcript_8912	transcript_2738	transcript_6759
transcript_11075	transcript_10998	transcript_1439	transcript_8410
transcript_9055	transcript_3433	transcript_9189	transcript_7834
transcript_9673	transcript_10268	transcript_10562	transcript_1968
transcript_11068	transcript_11241	transcript_1388	transcript_10619
transcript_8604	transcript_1339	transcript_2118	transcript_10089
	transcript_8316	transcript_9902	transcript_5277
	transcript_3616	transcript_5986	transcript_7536
	transcript_1177	transcript_10354	transcript_7295
	transcript_1530	transcript_1048	transcript_8911
	transcript_2922	transcript_7283	transcript_3035
	transcript_6702	transcript_3548	transcript_11305
	transcript_11039	transcript_3592	transcript_5622
	transcript_7780	transcript_5861	transcript_3423
	transcript_5505	transcript_1738	transcript_3808
	transcript_2883	transcript_4705	transcript_4217
	transcript_2593	transcript_8980	transcript_3618
	transcript_7304	transcript_5644	transcript_6697
	transcript_786	transcript_9455	transcript_1524
	transcript_10952	transcript_5585	transcript_7254
	transcript_4328	transcript_5394	transcript_1954
	transcript_10645	transcript_255	transcript_2593
	transcript_1138	transcript_5598	transcript_5598
	transcript_11117	transcript_10416	transcript_112
	transcript_9222	transcript_11145	transcript_8996
	transcript_2402	transcript_660	transcript_847
	transcript_8464	transcript_3193	transcript_1737
	transcript_3516	transcript_3264	transcript_11031
	transcript_6681	transcript_9982	transcript_6074
	transcript_1769	transcript_11047	transcript_7297
	transcript_9524	transcript_2211	transcript_4224
	transcript_923	transcript_1555	transcript_86
	transcript_3042	transcript_4038	transcript_5394
	transcript_7442	transcript_6672	transcript_8999
	transcript_7187	transcript_7736	transcript_3753
	transcript_11167	transcript_8985	transcript_5499
	transcript_4647	transcript_8442	transcript_10519
	transcript_3129	transcript_1122	transcript_1155
	transcript_1553	transcript_8566	transcript_3129
	transcript_3273	transcript_1138	transcript_10418
	transcript_796	transcript_6146	transcript_5938
	transcript_871	transcript_4815	transcript_2601
	transcript_9904	transcript_604	transcript_7474
	transcript_7418	transcript_5838	transcript_6330
	transcript_407	transcript_6571	transcript_4864
	transcript_3955	transcript_3547	transcript_2490
	transcript_3698	transcript_3048	transcript_8212
	transcript_5492	transcript_5892	transcript_7704
	transcript_4885	transcript_1019	transcript_10923
	transcript_381	transcript_3087	transcript_2392
	transcript_5730	transcript_9714	transcript_599
	transcript_1515	transcript_125	transcript_5632
	transcript_210	transcript_2926	transcript_5242
	transcript_6400	transcript_9417	transcript_7789
	transcript_2257	transcript_7443	transcript_3260
	transcript_2304	transcript_838	transcript_3791
	transcript_10663	transcript_3950	transcript_5417
	transcript_7327	transcript_6737	transcript_6591
	transcript_8442	transcript_608	transcript_8635
	transcript_7416	transcript_3735	transcript_269
	transcript_9234	transcript_9119	transcript_5694
	transcript_11566	transcript_1016	transcript_1361
	transcript_346	transcript_4325	transcript_1669
	transcript_3321	transcript_4215	transcript_1951
	transcript_6947	transcript_1657	transcript_1740
	transcript_272	transcript_2618	transcript_840
	transcript_430	transcript_3162	transcript_5415
	transcript_8212	transcript_11420	transcript_9214
	transcript_7209	transcript_6469	transcript_9584
	transcript_371	transcript_37	transcript_6031
	transcript_11521	transcript_3808	transcript_4472
	transcript_10685	transcript_6770	transcript_3468
	transcript_2727	transcript_667	transcript_4947
	transcript_6949	transcript_11479	transcript_1608
	transcript_3805	transcript_6094	transcript_1258
	transcript_3858	transcript_8625	transcript_1407
	transcript_3241	transcript_3924	transcript_1646
	transcript_10826	transcript_6765	transcript_9741
	transcript_562	transcript_2000	transcript_7532
	transcript_4238	transcript_186	transcript_497
	transcript_9397	transcript_10199	transcript_206
	transcript_5173	transcript_8771	transcript_10743
	transcript_6380	transcript_2301	transcript_4557
	transcript_7293	transcript_8630	transcript_524
	transcript_1394	transcript_6191	transcript_3463
	transcript_3272	transcript_5139	transcript_8708
	transcript_642	transcript_1435	transcript_8038
	transcript_3468	transcript_9192	transcript_512
	transcript_5386	transcript_666	transcript_1295
	transcript_4604	transcript_7315	transcript_1105
	transcript_11219	transcript_4719	transcript_3856
	transcript_9012	transcript_7756	transcript_2780
	transcript_906	transcript_646	transcript_245
	transcript_11346	transcript_840	transcript_6650
	transcript_2117	transcript_10464	transcript_7865
	transcript_4497	transcript_8223	transcript_6620
	transcript_6737	transcript_8706	transcript_7682
	transcript_1048	transcript_4593	transcript_3942
	transcript_8186	transcript_10548	transcript_10159
	transcript_2852	transcript_6760	transcript_3683
	transcript_5732	transcript_11165	transcript_166
	transcript_627	transcript_6595	transcript_11047
	transcript_11491	transcript_9511	transcript_1074
	transcript_4584	transcript_9213	transcript_9138
	transcript_3359	transcript_1426	transcript_11024
	transcript_4363	transcript_6944	transcript_8884
	transcript_6604	transcript_2677	transcript_8442
	transcript_9955	transcript_9425	transcript_7120
	transcript_5895	transcript_5061	transcript_8512
	transcript_1316	transcript_11468	transcript_6071
	transcript_2125	transcript_4956	transcript_8486
	transcript_10192	transcript_491	transcript_5449
	transcript_4641	transcript_811	transcript_6260
	transcript_2614	transcript_2741	transcript_4930
	transcript_5053	transcript_7671	transcript_11320
	transcript_8752	transcript_7055	transcript_5270
	transcript_8051	transcript_6586	transcript_2493
	transcript_5083	transcript_1444	transcript_6224
	transcript_649	transcript_11089	transcript_6275
	transcript_11480	transcript_5529	transcript_9909
	transcript_9061	transcript_1670	transcript_10284
	transcript_5477	transcript_2295	transcript_4397
	transcript_4566	transcript_3259	transcript_5458
	transcript_9616	transcript_2027	transcript_5384
	transcript_8483	transcript_4010	transcript_1963
	transcript_5035	transcript_1769	transcript_262
	transcript_7179	transcript_4530	transcript_8483
	transcript_7322	transcript_8316	transcript_2626
	transcript_342	transcript_2996	transcript_1061
	transcript_4487	transcript_1587	transcript_8034
	transcript_3845	transcript_8212	transcript_7867
	transcript_7295	transcript_10811	transcript_8030
	transcript_9113	transcript_3054	transcript_1906
	transcript_1737	transcript_8554	transcript_5154
	transcript_7243	transcript_8219	transcript_4436
	transcript_546	transcript_10826	transcript_10210
	transcript_281	transcript_7233	transcript_7011
	transcript_7129	transcript_456	transcript_4152
	transcript_9415	transcript_6976	transcript_7446
	transcript_10089	transcript_6482	transcript_8777
	transcript_10737	transcript_8470	transcript_8771
	transcript_269	transcript_9373	transcript_1029
	transcript_1358	transcript_1242	transcript_10613
	transcript_77	transcript_6113	transcript_5262
	transcript_2405	transcript_6128	transcript_8063
	transcript_4871	transcript_3628	transcript_1039
	transcript_5444	transcript_9999	transcript_5554
	transcript_9465	transcript_4012	transcript_193
